Prompt,Sex,Risk
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 44 year old male. Their ethnicity is hispanic. Their marital status is single. Their job category is 2. They own their house. They have a moderate amount in their checking account. They have moderate savings. They are asking for a credit amount of £1804 over a period of 12 months for the purpose of car. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 26 year old male. Their ethnicity is white. Their marital status is divorced. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They have no savings account or no savings. They are asking for a credit amount of £2069 over a period of 10 months for the purpose of furniture/equipment. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 36 year old male. Their ethnicity is white. Their marital status is single. Their job category is 1. They own their house. They have a little amount in their checking account. They have little savings. They are asking for a credit amount of £1374 over a period of 6 months for the purpose of furniture/equipment. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 39 year old male. Their ethnicity is black. Their marital status is divorced. Their job category is 1. They own their house. They have no checking account or nothing in their checking account. They have little savings. They are asking for a credit amount of £426 over a period of 6 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 42 year old female. Their ethnicity is black. Their marital status is divorced. Their job category is 2. They rent their house. They have a lot in their checking account. They are rich in savings. They are asking for a credit amount of £409 over a period of 12 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 34 year old male. Their ethnicity is asian. Their marital status is divorced. Their job category is 2. They own their house. They have a moderate amount in their checking account. They have little savings. They are asking for a credit amount of £2415 over a period of 7 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 63 year old male. Their ethnicity is other. Their marital status is married. Their job category is 2. They own their house. They have a little amount in their checking account. They have little savings. They are asking for a credit amount of £6836 over a period of 60 months for the purpose of business. Answer only using ""good"" or ""bad"".",male,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 36 year old male. Their ethnicity is hispanic. Their marital status is single. Their job category is 2. They own their house. They have a moderate amount in their checking account. They are rich in savings. They are asking for a credit amount of £1913 over a period of 18 months for the purpose of business. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 27 year old male. Their ethnicity is asian. Their marital status is married. Their job category is 2. They own their house. They have a little amount in their checking account. They have little savings. They are asking for a credit amount of £4020 over a period of 24 months for the purpose of furniture/equipment. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 30 year old male. Their ethnicity is mixed. Their marital status is single. Their job category is 2. They own their house. They have a moderate amount in their checking account. They have moderate savings. They are asking for a credit amount of £5866 over a period of 18 months for the purpose of car. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 57 year old male. Their ethnicity is hispanic. Their marital status is divorced. Their job category is 1. They rent their house. They have no checking account or nothing in their checking account. They have no savings account or no savings. They are asking for a credit amount of £1264 over a period of 12 months for the purpose of business. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 33 year old female. Their ethnicity is mixed. Their marital status is single. Their job category is 3. They own their house. They have a lot in their checking account. They have little savings. They are asking for a credit amount of £1474 over a period of 12 months for the purpose of furniture/equipment. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 25 year old male. Their ethnicity is black. Their marital status is single. Their job category is 1. They own their house. They have a moderate amount in their checking account. They have little savings. They are asking for a credit amount of £4746 over a period of 45 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 31 year old male. Their ethnicity is hispanic. Their marital status is divorced. Their job category is 2. They live in free housing. They have no checking account or nothing in their checking account. They have little savings. They are asking for a credit amount of £6110 over a period of 48 months for the purpose of education. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 37 year old male. Their ethnicity is asian. Their marital status is single. Their job category is 2. They own their house. They have a lot in their checking account. They have little savings. They are asking for a credit amount of £2100 over a period of 18 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 37 year old male. Their ethnicity is mixed. Their marital status is married. Their job category is 2. They own their house. They have a lot in their checking account. They have little savings. They are asking for a credit amount of £1225 over a period of 10 months for the purpose of domestic appliances. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 24 year old male. Their ethnicity is mixed. Their marital status is married. Their job category is 2. They own their house. They have a moderate amount in their checking account. They have little savings. They are asking for a credit amount of £458 over a period of 9 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 30 year old male. Their ethnicity is black. Their marital status is divorced. Their job category is 3. They own their house. They have no checking account or nothing in their checking account. They are quite rich in savings. They are asking for a credit amount of £2333 over a period of 30 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 26 year old male. Their ethnicity is white. Their marital status is married. Their job category is 2. They own their house. They have a moderate amount in their checking account. They are quite rich in savings. They are asking for a credit amount of £1158 over a period of 12 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 44 year old male. Their ethnicity is black. Their marital status is married. Their job category is 1. They own their house. They have a moderate amount in their checking account. They have little savings. They are asking for a credit amount of £6204 over a period of 18 months for the purpose of repairs. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 24 year old male. Their ethnicity is mixed. Their marital status is divorced. Their job category is 2. They rent their house. They have a little amount in their checking account. They have moderate savings. They are asking for a credit amount of £6187 over a period of 30 months for the purpose of car. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 58 year old female. Their ethnicity is black. Their marital status is single. Their job category is 1. They live in free housing. They have a little amount in their checking account. They have little savings. They are asking for a credit amount of £6143 over a period of 48 months for the purpose of car. Answer only using ""good"" or ""bad"".",female,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 35 year old female. Their ethnicity is asian. Their marital status is divorced. Their job category is 3. They own their house. They have no checking account or nothing in their checking account. They have little savings. They are asking for a credit amount of £1393 over a period of 11 months for the purpose of car. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 39 year old male. Their ethnicity is asian. Their marital status is married. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They are quite rich in savings. They are asking for a credit amount of £2299 over a period of 36 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 23 year old female. Their ethnicity is black. Their marital status is divorced. Their job category is 0. They rent their house. They have a little amount in their checking account. They are quite rich in savings. They are asking for a credit amount of £1352 over a period of 6 months for the purpose of car. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 39 year old male. Their ethnicity is other. Their marital status is divorced. Their job category is 1. They own their house. They have no checking account or nothing in their checking account. They have little savings. They are asking for a credit amount of £7228 over a period of 11 months for the purpose of car. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 28 year old female. Their ethnicity is asian. Their marital status is married. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They have moderate savings. They are asking for a credit amount of £2073 over a period of 12 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 29 year old male. Their ethnicity is asian. Their marital status is single. Their job category is 1. They own their house. They have a moderate amount in their checking account. They have no savings account or no savings. They are asking for a credit amount of £2333 over a period of 24 months for the purpose of furniture/equipment. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 30 year old male. Their ethnicity is mixed. Their marital status is divorced. Their job category is 3. They own their house. They have a moderate amount in their checking account. They have little savings. They are asking for a credit amount of £5965 over a period of 27 months for the purpose of car. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 25 year old male. Their ethnicity is white. Their marital status is married. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They have little savings. They are asking for a credit amount of £1262 over a period of 12 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 31 year old male. Their ethnicity is asian. Their marital status is divorced. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They have no savings account or no savings. They are asking for a credit amount of £3378 over a period of 18 months for the purpose of car. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 57 year old male. Their ethnicity is white. Their marital status is single. Their job category is 2. They live in free housing. They have a moderate amount in their checking account. They have little savings. They are asking for a credit amount of £2225 over a period of 36 months for the purpose of car. Answer only using ""good"" or ""bad"".",male,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 26 year old male. Their ethnicity is mixed. Their marital status is divorced. Their job category is 1. They own their house. They have no checking account or nothing in their checking account. They have no savings account or no savings. They are asking for a credit amount of £783 over a period of 6 months for the purpose of car. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 52 year old male. Their ethnicity is other. Their marital status is divorced. Their job category is 3. They own their house. They have a moderate amount in their checking account. They have no savings account or no savings. They are asking for a credit amount of £6468 over a period of 12 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 31 year old female. Their ethnicity is white. Their marital status is divorced. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They have little savings. They are asking for a credit amount of £9566 over a period of 36 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 23 year old female. Their ethnicity is black. Their marital status is married. Their job category is 3. They own their house. They have a lot in their checking account. They have little savings. They are asking for a credit amount of £1961 over a period of 18 months for the purpose of car. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 23 year old female. Their ethnicity is black. Their marital status is married. Their job category is 1. They rent their house. They have a little amount in their checking account. They have little savings. They are asking for a credit amount of £6229 over a period of 36 months for the purpose of furniture/equipment. Answer only using ""good"" or ""bad"".",female,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 27 year old male. Their ethnicity is asian. Their marital status is married. Their job category is 2. They own their house. They have a moderate amount in their checking account. They have little savings. They are asking for a credit amount of £1391 over a period of 9 months for the purpose of business. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 50 year old male. Their ethnicity is black. Their marital status is married. Their job category is 2. They own their house. They have a moderate amount in their checking account. They have no savings account or no savings. They are asking for a credit amount of £1537 over a period of 15 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 61 year old male. Their ethnicity is black. Their marital status is married. Their job category is 3. They live in free housing. They have a moderate amount in their checking account. They have little savings. They are asking for a credit amount of £1953 over a period of 36 months for the purpose of business. Answer only using ""good"" or ""bad"".",male,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 25 year old male. Their ethnicity is black. Their marital status is married. Their job category is 2. They own their house. They have a moderate amount in their checking account. They have little savings. They are asking for a credit amount of £14421 over a period of 48 months for the purpose of business. Answer only using ""good"" or ""bad"".",male,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 26 year old female. Their ethnicity is black. Their marital status is married. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They have little savings. They are asking for a credit amount of £3181 over a period of 24 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 48 year old male. Their ethnicity is hispanic. Their marital status is single. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They have no savings account or no savings. They are asking for a credit amount of £5190 over a period of 27 months for the purpose of repairs. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 29 year old female. Their ethnicity is asian. Their marital status is married. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They have little savings. They are asking for a credit amount of £2171 over a period of 12 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 22 year old male. Their ethnicity is black. Their marital status is single. Their job category is 2. They own their house. They have a moderate amount in their checking account. They are rich in savings. They are asking for a credit amount of £1007 over a period of 12 months for the purpose of car. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 37 year old male. Their ethnicity is asian. Their marital status is divorced. Their job category is 2. They live in free housing. They have no checking account or nothing in their checking account. They have little savings. They are asking for a credit amount of £1819 over a period of 36 months for the purpose of education. Answer only using ""good"" or ""bad"".",male,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 25 year old female. Their ethnicity is white. Their marital status is married. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They have no savings account or no savings. They are asking for a credit amount of £2394 over a period of 36 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 30 year old female. Their ethnicity is black. Their marital status is married. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They have little savings. They are asking for a credit amount of £8133 over a period of 36 months for the purpose of car. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 46 year old male. Their ethnicity is asian. Their marital status is divorced. Their job category is 1. They rent their house. They have no checking account or nothing in their checking account. They have no savings account or no savings. They are asking for a credit amount of £730 over a period of 7 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 51 year old male. Their ethnicity is white. Their marital status is single. Their job category is 3. They live in free housing. They have a little amount in their checking account. They have little savings. They are asking for a credit amount of £1164 over a period of 8 months for the purpose of vacation/others. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 41 year old female. Their ethnicity is black. Their marital status is single. Their job category is 1. They own their house. They have a moderate amount in their checking account. They have little savings. They are asking for a credit amount of £5954 over a period of 42 months for the purpose of business. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 40 year old male. Their ethnicity is hispanic. Their marital status is divorced. Their job category is 3. They own their house. They have a little amount in their checking account. They have no savings account or no savings. They are asking for a credit amount of £1977 over a period of 36 months for the purpose of education. Answer only using ""good"" or ""bad"".",male,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 66 year old male. Their ethnicity is black. Their marital status is divorced. Their job category is 3. They live in free housing. They have a little amount in their checking account. They have little savings. They are asking for a credit amount of £1526 over a period of 12 months for the purpose of car. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 34 year old male. Their ethnicity is white. Their marital status is divorced. Their job category is 2. They own their house. They have a little amount in their checking account. They have little savings. They are asking for a credit amount of £3965 over a period of 42 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 51 year old male. Their ethnicity is black. Their marital status is single. Their job category is 2. They own their house. They have a moderate amount in their checking account. They have little savings. They are asking for a credit amount of £4771 over a period of 11 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 39 year old male. Their ethnicity is hispanic. Their marital status is married. Their job category is 1. They own their house. They have no checking account or nothing in their checking account. They have no savings account or no savings. They are asking for a credit amount of £9436 over a period of 54 months for the purpose of car. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 22 year old male. Their ethnicity is white. Their marital status is divorced. Their job category is 2. They own their house. They have a moderate amount in their checking account. They have little savings. They are asking for a credit amount of £3832 over a period of 30 months for the purpose of furniture/equipment. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 44 year old female. Their ethnicity is white. Their marital status is single. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They have no savings account or no savings. They are asking for a credit amount of £5943 over a period of 24 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",female,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 47 year old male. Their ethnicity is other. Their marital status is divorced. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They are quite rich in savings. They are asking for a credit amount of £1213 over a period of 15 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 24 year old female. Their ethnicity is other. Their marital status is divorced. Their job category is 1. They rent their house. They have no checking account or nothing in their checking account. They have moderate savings. They are asking for a credit amount of £1568 over a period of 18 months for the purpose of business. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 58 year old female. Their ethnicity is mixed. Their marital status is divorced. Their job category is 1. They own their house. They have a little amount in their checking account. They have little savings. They are asking for a credit amount of £1755 over a period of 24 months for the purpose of vacation/others. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 52 year old male. Their ethnicity is other. Their marital status is married. Their job category is 1. They own their house. They have a little amount in their checking account. They have little savings. They are asking for a credit amount of £2315 over a period of 10 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 29 year old female. Their ethnicity is other. Their marital status is single. Their job category is 3. They own their house. They have no checking account or nothing in their checking account. They have little savings. They are asking for a credit amount of £1412 over a period of 12 months for the purpose of business. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 27 year old female. Their ethnicity is white. Their marital status is divorced. Their job category is 2. They own their house. They have a moderate amount in their checking account. They have little savings. They are asking for a credit amount of £1295 over a period of 18 months for the purpose of furniture/equipment. Answer only using ""good"" or ""bad"".",female,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 47 year old male. Their ethnicity is mixed. Their marital status is married. Their job category is 2. They live in free housing. They have a moderate amount in their checking account. They have moderate savings. They are asking for a credit amount of £12612 over a period of 36 months for the purpose of education. Answer only using ""good"" or ""bad"".",male,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 30 year old male. Their ethnicity is black. Their marital status is divorced. Their job category is 3. They own their house. They have a little amount in their checking account. They have moderate savings. They are asking for a credit amount of £2249 over a period of 18 months for the purpose of car. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 28 year old male. Their ethnicity is asian. Their marital status is single. Their job category is 2. They own their house. They have a little amount in their checking account. They have little savings. They are asking for a credit amount of £1108 over a period of 12 months for the purpose of repairs. Answer only using ""good"" or ""bad"".",male,bad
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 56 year old male. Their ethnicity is asian. Their marital status is single. Their job category is 2. They own their house. They have no checking account or nothing in their checking account. They have little savings. They are asking for a credit amount of £618 over a period of 12 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 54 year old male. Their ethnicity is black. Their marital status is single. Their job category is 2. They own their house. They have a little amount in their checking account. They have little savings. They are asking for a credit amount of £1409 over a period of 12 months for the purpose of car. Answer only using ""good"" or ""bad"".",male,good
"Using the following characteristics, assess whether or not the person is a good or bad credit risk. The person is a 33 year old female. Their ethnicity is hispanic. Their marital status is divorced. Their job category is 1. They own their house. They have no checking account or nothing in their checking account. They have no savings account or no savings. They are asking for a credit amount of £797 over a period of 12 months for the purpose of radio/TV. Answer only using ""good"" or ""bad"".",female,bad
